"Nummer [Anke]","offizielle Nummer",Bezeichnung,Stadtteil,Adresse,"Koordinaten NS","Koordinaten OW ",Datierung,Beschreibung,Status,Fütterung,Kontrollen,WikipediaId,OsmId
61,260,"Handschwengelpumpe [abgebaut]",Gohlis-Süd,Herloßsohnstraße,5136157,123571,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Möckernsche Straße gegenüber Herloßsohnstraße 2","wahrscheinlich abgebaut",,,09296889,
62,144,"Handschwengelpumpe [abgebaut]",Neustadt-Neuschönefeld,Hermann-Liebmann-Straße,5134162,1240603,"1919 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Ganzplatte vor Nr. 33/35 (Nähe Bergstraße auf einer kleinen Grünfläche, Typ Großer Löwe)","wahrscheinlich abgebaut",,,09294870,
63,142,"Handschwengelpumpe [abgebaut]",Neustadt-Neuschönefeld,Hermann-Liebmann-Straße,5134539,12405784,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Eisenbahnstraße; vor dem Geschäftshausneubau","wahrscheinlich abgebaut",,,09299207,
64,203,"Handschwengelpumpe [rekonstruiert]",Eutritzsch,"Hohmannstraße / Berliner Straße",5135715,123935,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Berliner Straße (Typ Delphin)",,,,09294892,
65,238,"Handschwengelpumpe [abgebaut]",Schleußig,Holbeinstraße,5132647,123425,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte","wahrscheinlich abgebaut",,,09263876,
162,295,,"Stötteritz","Holzhäuserstraße 131",5131973875,12428925682753272,,,"wahrscheinlich abgebaut",,
66,,,"Möckern",Huygensstraße,5136657,123499008,,,,,
67,,"Handschwengelpumpe [abgebaut]",Zentrum-Ost,Inselstraße,5134000,1239091,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte gegenüber Nr. 11 (Typ Gotik)","wahrscheinlich abgebaut",,,09294777,
68,190,Handschwengelpumpe,Gohlis-Mitte,Jägerstraße,513692668,123616917,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 2, Ecke Landsberger Straße","wahrscheinlich abgebaut",,,09297789,
69,139,"Handschwengelpumpe [abgebaut]",Neustadt-Neuschönefeld,Jonasstraße,5134589,12396639,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Eisenbahnstraße","wahrscheinlich abgebaut",,,09299204,
70,220,"Handschwengelpumpe [abgebaut]",Sellerhausen-Stünz,Julius-Krause-Straße,5133844,1243196,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 36/38 (Typ Gotik)","wahrscheinlich abgebaut",,,09294845,
71,149,"Handschwengelpumpe [Torso]",Neustadt-Neuschönefeld,"Kapellenstraße 6",5133894,1240447,,"Torso einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 6 (Typ Delphin)","verrosteter Torso mit Schwengel vorhanden [Anke]",,,09294840,
160,209,Handschwengelpumpe,Altlindenau,Karl-Ferlemann-Straße,513368859,123241993,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Geraer Straße","wahrscheinlich abgebaut",,,09294850,
73,110,"Handschwengelpumpe [abgebaut]",Südvorstadt,Karl-Liebknecht-Straße,5131942,1237331,"nach 1877 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Höhe Schützplatz/Scharnhorststraße (Typ Gotik)","wahrscheinlich abgebaut",,,09260164,
161,178,Handschwengelpumpe,Zentrum-Süd,"Karl-Liebknecht-Straße 44",51325444950000005,12373400125304371,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte","abgebaut [Anke]",,,09295647,
72,109,"Handschwengelpumpe [abgebaut]",Südvorstadt,"Karl-Liebknecht-Straße 72",5132218,1237337,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Alfred-Kästner-Straße; vor Karl-Liebknecht-Straße Nr. 72","abgebaut [Anke]",,,09296162,
74,,,"Lindenthal","Karl-Mannsfeld-Straße",513874187,123219444,,,,,
75,7,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Katharinenstraße 9",5134183,1237493,"nach 1850 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 9 (Typ Delphin)","intakt, aber nicht betriebsbereit [Anke] Brunnen verpresst [Bau und Service Leipzig GmbH]",,,09294778,
76,257,Handschwengelpumpe,Zentrum-Nord,Kickerlingsberg,51351936,123707825,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Springerstraße (Typ Großer Löwe); nur noch Pumpenfußteil vorhanden","wahrscheinlich nur noch Stumpf vorhanden",,,09294876,
77,239,Handschwengelpumpe,Reudnitz-Thonberg,"Kippenbergstraße 15",5133520,124057388,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte","abgebaut [Anke]",,,09263864,
78,132,Handschwengelpumpe,Gohlis-Süd,Kirchplatz,513581861,123683144,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Gotik) Kirchplatz Gohlis, an der Lützowstraße","wahrscheinlich nur noch Stumpf vorhanden",,,09290017,
79,,"Handschwengelpumpe [abgebaut]",Zentrum-Ost,"Lange Straße",5133938,1239381,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte, nahe der Dresdner Straße","abgebaut, mit großer Steinplatte abgedeckt [Anke]",,,09292773,
80,245,"Handschwengelpumpe [abgebaut]",Schönefeld-Abtnaundorf,Lazarusstraße,5136083,1241528,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 24","wahrscheinlich abgebaut",,,09294856,
81,18,Handschwengelpumpe,Zentrum-Nordwest,Leibnizstraße,513433181,123646699,,"Handschwengelpumpe Nr. 18 mit Brunnenschacht und Abdeckplatte (Typ Gotik) vor Nr. 15/17","wahrscheinlich abgebaut",,,09294890,
